Company, Heuresis Corp.
,88,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:04:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Wall,Drywall,Intact,,White,
,89,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:04:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Ceiling,Drywall,Intact,,White,
,90,-0.6,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:05:00,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Floor,Wood,Intact,,Brown,
,91,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:05:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Cabinets,,Wood,Intact,,Tan,
,92,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:06:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Cabinets,,Wood,Intact,,Grey,
,93,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:06:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,B,Door,Jamb,Drywall,Intact,,White,
,94,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:10:54,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Kitchen,B,Window,Sill,Wood,Intact,,White,
,95,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:11:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Kitchen,B,Window,Frame,Wood,Intact,,Brown,
,96,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:11:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Kitchen,B,Window,Frame,Vinyl,Intact,,White,
,97,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:12:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Kitchen,C,Room,Wall,Drywall,Intact,,White,
,98,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:14:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Dining Room,A,Window,Sill,Wood,Intact,,Brown,
,99,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:14:35,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Dining Room,A,Room,Wall,Wood,Intact,,White,
,100,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:14:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Dining Room,A,Room,Ceiling,Wood,Deteriorated,,White,
,101,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:15:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Dining Room,A,Shelf,,Wood,Intact,,White,
,102,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:16:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Door,,Wood,Intact,,White,
,103,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:16:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Door,Frame,Wood,Intact,,White,
,104,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:17:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Door,Jamb,Wood,Intact,,White,
,105,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:17:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Room,Wall,Drywall,Intact,,White,
,106,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:17:58,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Door,,Wood,Deteriorated,,Red,
,107,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:18:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Window,Sill,Wood,Intact,,White,
,108,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:18:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Window,Frame,Wood,Intact,,White,
,109,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:19:18,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,A,Window,Sash,Vinyl,Intact,,White,
,110,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:20:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,A,Window,Sash,Vinyl,Intact,,White,
,111,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:20:34,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,A,Window,Sill,Wood,Intact,,Brown,
,112,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:20:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,A,Window,Frame,Wood,Intact,,Brown,
,113,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:21:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,C,Door,Jamb,Wood,Intact,,White,
,114,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:21:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,C,Door,---,Wood,Intact,,White,
,115,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:21:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 2,C,Door,---,Wood,Intact,,White,
,116,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:29:53,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,B,Door,---,Wood,Intact,,White,
,117,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:30:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,B,Door,Frame,Wood,Intact,,White,
,118,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:30:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Living Room,B,Fire Place,,Wood,Intact,,White,
,119,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:34:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,A,Room,Wall,Drywall,Intact,,Blue,
,120,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:34:53,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,A,Door,---,Wood,Intact,,White,
,121,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:35:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,A,Door,Jamb,Wood,Intact,,White,
,122,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:35:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,A,Door,Frame,Wood,Intact,,White,
,123,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:35:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,A,Room,Baseboard,Wood,Intact,,White,
,124,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:36:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,C,Window,Sash,Vinyl,Intact,,White,
,125,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:36:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,C,Window,Sill,Wood,Intact,,White,
,126,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:36:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 1,C,Window,Frame,Wood,Intact,,White,
,127,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:43:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,C,Window,Frame,Wood,Intact,,White,
,128,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:43:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,C,Window,Sill,Wood,Intact,,Brown,
,129,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:44:21,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,D,Room,Wall,Wood,Intact,,Purple,
,130,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:44:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,D,Door,,Wood,Intact,,White,
,131,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:45:00,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,D,Door,Jamb,Wood,Intact,,White,
,132,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:45:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 3,D,Door,Frame,Wood,Intact,,White,
,133,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:50:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,B,Door,Frame,Wood,Intact,,White,
,134,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:50:39,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,B,Door,Jamb,Wood,Intact,,White,
,135,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:50:56,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,B,Door,---,Wood,Intact,,White,
,136,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:51:20,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,C,Tub ,,Ceramic,Intact,,White,
,137,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:51:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,D,Window,Sill,Wood,Intact,,White,
,138,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:52:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,D,Window,Frame,Wood,Intact,,White,
,139,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:52:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,A,Cabinets,,Wood,Intact,,White,
,140,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:52:54,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom,A,Room,Wall,Drywall,Intact,,Green,
,141,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:53:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom 2,A,Room,Wall,Drywall,Intact,,Orange,
,142,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:54:00,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom 2,A,Cabinets,,Wood,Intact,,Grey,
,143,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:54:20,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom 2,A,Door,---,Wood,Intact,,White,
,144,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:54:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom 2,A,Door,Jamb,Wood,Intact,,White,
,145,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:54:52,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bathroom 2,A,Door,---,Wood,Intact,,White,
,146,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:55:16,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,A,Door,---,Wood,Intact,,White,
,147,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:55:32,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,A,Door,Jamb,Wood,Intact,,White,
,148,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:55:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,A,Door,Frame,Wood,Intact,,White,
,149,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:56:11,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,A,Room,Wall,Drywall,Intact,,White,
,150,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:56:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,B,Window,Frame,Wood,Intact,,White,
,151,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:56:53,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Bedroom 4,B,Window,Sill,Wood,Intact,,White,
,152,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:58:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Porch,A,Door,,Wood,Intact,,White,
,153,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:58:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Porch,A,Room,Wall,Wood,Intact,,Blue,
,154,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:58:55,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Porch,A,Room,Ceiling,Wood,Intact,,Blue,
,155,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:59:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Porch,A,Window,Frame,Vinyl,Intact,,White,
,156,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:00:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,A,Door,,Vinyl,Intact,,White,
,157,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:00:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,A,Room,Wall,Vinyl,Intact,,Blue,
,158,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:01:00,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,A,Soffit,,Wood,Intact,,Blue,
,159,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:03:21,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,B,Room,Wall,Vinyl,Intact,,Blue,
,160,0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:03:45,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,B,Window,Frame,Vinyl,Intact,,White,
,161,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:04:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,C,Room,Wall,Vinyl,Intact,,Blue,
,162,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:04:47,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,C,Door,,Wood,Intact,,White,
,163,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:05:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,C,Door,Jamb,Wood,Intact,,White,
,164,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:05:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,C,Door,Frame,Wood,Intact,,White,
,165,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:06:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,C,Window,Frame,Vinyl,Intact,,White,
,166,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:06:39,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,D,Window,Frame,Vinyl,Intact,,White,
,167,0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,11:07:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,House,D,Room,Wall,Vinyl,Intact,,Blue,
,168,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,11:12:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,169,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,11:12:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,170,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,11:13:05,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,171,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,12:04:03,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,172,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,12:04:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,173,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,12:04:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue,
,174,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:10:01,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom,A,Room,Wall,Drywall,Intact,,Blue,
,175,0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:10:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom,A,Door,---,Wood,Intact,,White,
,176,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:10:43,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom,A,Door,Jamb,Wood,Intact,,White,
,177,0.5,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,12:10:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,5651,Apartment / Residential ,Bathroom,A,Door,Frame,Wood,Intact,,White,
